iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
DJI,Africa,Djibouti,2023-03-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-03-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-03-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-03-31,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-14,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-15,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-16,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-17,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-18,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-19,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-20,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-21,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-22,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-23,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-24,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-25,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-26,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-27,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-04-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-14,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-15,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-16,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-17,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-18,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-19,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-20,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-21,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-22,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-23,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-24,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-25,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-26,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-27,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-05-31,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-14,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-15,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-16,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-17,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-18,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-19,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-20,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-21,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-22,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-23,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-24,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-25,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-26,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-27,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-06-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-14,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-15,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-16,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-17,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-18,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-19,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-20,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-21,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-22,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-23,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-24,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-25,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-26,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-27,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-07-31,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-14,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-15,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-16,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-17,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-18,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-19,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-20,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-21,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-22,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-23,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-24,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-25,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-26,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-27,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-08-31,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-14,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-15,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-16,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-17,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-18,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-19,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-20,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-21,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-22,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-23,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-24,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-25,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-26,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-27,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-09-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-14,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-15,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-16,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-17,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-18,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-19,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-20,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-21,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-22,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-23,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-24,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-25,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-26,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-27,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-10-31,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-14,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-15,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-16,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-17,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-18,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-19,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-20,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-21,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-22,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-23,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-24,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-25,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-26,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-27,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-28,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-29,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-11-30,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-01,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-02,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-03,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-04,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-05,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-06,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-07,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-08,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-09,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-10,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-11,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-12,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-13,15690.0,0.0,189.0,0.0
DJI,Africa,Djibouti,2023-12-14,15690.0,0.0,189.0,0.0
