iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
NCL,Oceania,New Caledonia,2023-01-21,79860.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-22,79919.0,59.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-23,79919.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-24,79919.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-25,79919.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-26,79919.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-27,79919.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-28,79919.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-29,79956.0,37.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-30,79956.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-01-31,79956.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-01,79956.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-02,79956.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-03,79956.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-04,79956.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-05,79981.0,25.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-06,79981.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-07,79981.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-08,79981.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-09,79981.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-10,79981.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-11,79981.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-12,79997.0,16.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-13,79997.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-14,79997.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-15,79997.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-16,79997.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-17,79997.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-18,79997.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-19,80007.0,10.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-20,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-21,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-22,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-23,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-24,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-25,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-26,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-27,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-02-28,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-01,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-02,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-03,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-04,80007.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-05,80017.0,10.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-06,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-07,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-08,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-09,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-10,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-11,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-12,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-13,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-14,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-15,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-16,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-17,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-18,80017.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-19,80032.0,15.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-20,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-21,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-22,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-23,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-24,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-25,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-26,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-27,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-28,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-29,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-30,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-03-31,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-01,80032.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-02,80048.0,16.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-03,80048.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-04,80048.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-05,80048.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-06,80048.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-07,80048.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-08,80048.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-09,80052.0,4.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-10,80052.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-11,80052.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-12,80052.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-13,80052.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-14,80052.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-15,80052.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-16,80053.0,1.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-17,80053.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-18,80053.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-19,80053.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-20,80053.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-21,80053.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-22,80053.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-23,80057.0,4.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-24,80057.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-25,80057.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-26,80057.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-27,80057.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-28,80057.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-29,80057.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-04-30,80058.0,1.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-01,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-02,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-03,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-04,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-05,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-06,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-07,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-08,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-09,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-10,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-11,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-12,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-13,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-14,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-15,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-16,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-17,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-18,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-19,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-20,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-21,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-22,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-23,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-24,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-25,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-26,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-27,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-28,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-29,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-30,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-05-31,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-01,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-02,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-03,80058.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-04,80064.0,6.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-05,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-06,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-07,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-08,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-09,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-10,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-11,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-12,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-13,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-14,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-15,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-16,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-17,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-18,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-19,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-20,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-21,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-22,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-23,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-24,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-25,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-26,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-27,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-28,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-29,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-06-30,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-01,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-02,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-03,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-04,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-05,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-06,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-07,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-08,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-09,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-10,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-11,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-12,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-13,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-14,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-15,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-16,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-17,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-18,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-19,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-20,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-21,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-22,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-23,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-24,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-25,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-26,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-27,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-28,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-29,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-30,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-07-31,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-01,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-02,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-03,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-04,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-05,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-06,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-07,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-08,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-09,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-10,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-11,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-12,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-13,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-14,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-15,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-16,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-17,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-18,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-19,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-20,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-21,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-22,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-23,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-24,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-25,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-26,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-27,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-28,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-29,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-30,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-08-31,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-01,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-02,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-03,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-04,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-05,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-06,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-07,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-08,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-09,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-10,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-11,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-12,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-13,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-14,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-15,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-16,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-17,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-18,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-19,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-20,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-21,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-22,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-23,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-24,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-25,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-26,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-27,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-28,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-29,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-09-30,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-01,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-02,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-03,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-04,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-05,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-06,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-07,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-08,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-09,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-10,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-11,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-12,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-13,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-14,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-15,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-16,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-17,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-18,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-19,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-20,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-21,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-22,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-23,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-24,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-25,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-26,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-27,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-28,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-29,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-30,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-10-31,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-01,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-02,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-03,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-04,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-05,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-06,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-07,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-08,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-09,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-10,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-11,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-12,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-13,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-14,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-15,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-16,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-17,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-18,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-19,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-20,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-21,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-22,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-23,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-24,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-25,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-26,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-27,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-28,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-29,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-11-30,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-01,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-02,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-03,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-04,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-05,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-06,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-07,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-08,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-09,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-10,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-11,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-12,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-13,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-14,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-15,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-16,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-17,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-18,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-19,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-20,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-21,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-22,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-23,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-24,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-25,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-26,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-27,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-28,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-29,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-30,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2023-12-31,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2024-01-01,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2024-01-02,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2024-01-03,80064.0,0.0,314.0,0.0
NCL,Oceania,New Caledonia,2024-01-04,80064.0,0.0,314.0,0.0
